10th_percent,12th_percent,jee_rank,gender,experience,experience_field,engineering_field,college_tier,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,cgpa,domain,referral,salary
90.7,98.3,9457,Male,3,0.7,Mechanical,Top IIT,0,4,1,4,4,3,2,86,5,15,8,0,6.58,Other,No,2898932
85.6,83.9,4211,Female,3,1.8,Computer Science,Top IIT,2,2,0,3,4,3,1,55,4,13,4,2,4.87,Machine Learning,No,4576140
94.0,87.8,5169,Female,0,0.0,Computer Science,Top IIT,1,1,2,3,3,1,2,90,9,9,5,1,1.08,Machine Learning,Yes,4625222
97.6,91.3,2847,Female,0,0.0,Computer Science,Top IIT,1,2,1,4,3,3,1,119,6,9,3,2,5.02,Android Development,No,3884375
83.5,83.1,2692,Female,2,0.6,Electrical,Top IIT,4,1,2,4,3,5,3,82,3,13,3,0,8.31,Full Stack,No,2913951
83.5,78.5,32718,Male,0,0.0,Computer Science,Mid IIT,1,1,3,4,3,3,1,131,3,8,2,2,4.42,Full Stack,No,2271227
91.8,99.7,14377,Female,0,0.0,Electrical,Top IIT,2,1,2,3,4,3,1,103,2,3,6,0,6.6,Machine Learning,No,2996416
85.5,76.6,1967,Female,3,2.5,Computer Science,Top IIT,2,2,2,5,4,2,3,102,1,10,7,2,3.6,Full Stack,Yes,4859751
69.6,68.2,10944,Male,0,0.0,Computer Science,Mid IIT,1,1,1,4,3,1,3,68,4,9,2,1,3.78,Full Stack,Yes,2169533
67.7,60.0,19832,Male,0,0.0,Computer Science,Top IIT,0,1,1,4,3,4,0,58,7,9,4,5,7.24,Other,No,4090280
84.7,89.2,5626,Female,0,0.0,Computer Science,Top IIT,0,1,1,3,3,4,3,111,3,14,4,1,5.28,Machine Learning,Yes,3032495
97.6,87.2,23791,Male,0,0.0,Electrical,Top IIT,1,1,1,4,3,3,0,124,11,8,1,2,4.53,Full Stack,No,2919770
79.0,76.0,4863,Male,1,0.2,Computer Science,Top IIT,3,1,2,4,4,3,4,84,5,13,1,0,2.31,Other,No,4737850
83.1,89.4,12757,Male,0,0.0,Civil,Top IIT,1,1,1,2,4,2,2,102,2,11,4,0,6.03,Android Development,Yes,1713623
90.5,91.7,23919,Female,0,0.0,Computer Science,Top IIT,0,1,4,4,4,3,1,81,7,7,4,1,4.47,Machine Learning,Yes,4159469
97.2,98.6,78229,Male,0,0.0,Mechanical,Top IIT,1,1,1,4,4,2,2,100,1,7,1,0,2.25,Machine Learning,Yes,2508860
82.5,85.8,15031,Male,1,0.6,Mechanical,Top IIT,3,1,1,3,2,2,3,115,3,11,3,0,3.97,Machine Learning,No,2058637
86.0,75.9,10086,Female,3,1.5,Electrical,Top IIT,2,2,1,4,3,2,2,109,3,6,4,5,3.83,Other,Yes,3687444
94.1,96.8,4891,Male,0,0.0,Mechanical,Top IIT,0,3,1,4,4,3,1,122,4,5,1,2,5.0,Android Development,Yes,2438319
83.2,80.4,2179,Female,0,0.0,Electronics,Top IIT,0,1,0,4,4,4,1,63,3,9,4,1,5.12,Android Development,No,2917996
89.5,75.7,2969,Female,3,2.2,Electrical,Top IIT,6,2,2,2,3,5,3,143,8,15,4,0,4.18,Other,No,4651037
74.2,73.4,7029,Male,3,2.5,Computer Science,Top IIT,6,3,2,3,3,4,1,118,6,6,2,2,8.91,Android Development,No,4803742
84.3,81.0,4386,Female,0,0.0,Electronics,Mid IIT,5,1,0,4,5,3,2,67,3,9,2,3,3.61,Full Stack,Yes,1279931
64.9,65.5,22622,Male,2,1.4,Mechanical,Mid IIT,4,1,3,3,4,4,1,68,3,10,1,1,7.21,Android Development,Yes,1381662
91.3,82.2,1432,Male,1,0.4,Computer Science,Top IIT,0,1,1,2,4,5,2,127,12,14,1,0,6.3,Android Development,Yes,4236557
68.0,60.0,16395,Female,1,0.2,Electronics,Mid IIT,0,2,0,2,3,3,2,105,6,15,2,1,2.22,Machine Learning,Yes,1570055
92.3,86.5,12857,Female,2,0.8,Computer Science,Top IIT,2,2,3,4,4,4,2,142,5,6,4,1,4.52,Android Development,No,5629308
72.6,65.0,3295,Male,0,0.0,Computer Science,Mid IIT,1,2,2,4,3,2,3,72,2,12,3,1,6.42,Android Development,Yes,2257399
66.1,60.0,2228,Male,1,0.2,Electrical,Top IIT,2,1,1,3,3,1,1,25,4,6,2,0,4.07,Android Development,No,2953843
92.0,98.2,7597,Male,0,0.0,Mechanical,Top IIT,0,2,3,5,3,4,3,54,5,13,2,1,8.46,Android Development,Yes,2745382
97.0,93.5,4417,Female,0,0.0,Computer Science,Top IIT,2,1,4,4,3,5,2,63,1,8,3,1,8.8,Full Stack,No,4077616
96.7,96.7,305,Female,0,0.0,Computer Science,Top IIT,0,1,2,3,3,5,1,76,6,6,2,2,3.55,Full Stack,Yes,4080731
87.3,92.9,14215,Male,1,0.8,Electrical,Top IIT,1,1,1,4,3,1,1,68,1,10,4,1,5.72,Other,Yes,2671476
83.2,79.0,578,Male,1,0.0,Computer Science,Top IIT,1,3,4,1,3,3,2,95,8,7,2,1,6.0,Machine Learning,No,4770657
91.4,72.9,17910,Male,1,0.3,Computer Science,Top IIT,0,1,3,3,3,2,2,43,6,9,4,1,4.85,Other,No,3798753
77.4,80.2,4404,Male,0,0.0,Computer Science,Top IIT,0,4,3,4,4,2,1,70,4,6,2,1,5.48,Android Development,No,3914453
91.5,78.2,9475,Female,0,0.0,Computer Science,Top IIT,0,3,1,5,4,4,2,38,5,5,1,1,7.1,Full Stack,No,3863850
92.6,89.9,23536,Female,2,0.3,Mechanical,Top IIT,4,2,2,3,5,2,2,103,10,3,3,1,4.57,Machine Learning,Yes,2368354
74.1,73.8,1445,Male,1,0.6,Mechanical,Top IIT,1,2,1,4,4,2,2,84,8,12,2,1,5.54,Machine Learning,Yes,2909297
82.8,81.6,17935,Female,1,0.5,Electrical,Top IIT,4,1,1,4,4,3,3,156,6,5,5,1,3.79,Android Development,Yes,2966921
82.1,67.5,32048,Female,3,1.8,Computer Science,Top IIT,3,4,2,3,3,5,2,69,4,12,3,1,6.17,Android Development,Yes,5270169
94.4,86.8,980,Male,1,0.3,Electrical,Top IIT,2,4,1,4,2,3,3,32,7,7,4,1,2.63,Machine Learning,No,2773782
77.3,79.4,7374,Female,0,0.0,Mechanical,Top IIT,1,1,4,4,4,4,2,52,4,8,3,2,3.49,Other,Yes,2638988
92.0,99.1,4862,Male,1,0.7,Computer Science,Mid IIT,1,2,1,5,4,4,2,56,5,11,2,1,5.86,Android Development,Yes,2100310
86.0,73.5,7389,Male,1,0.2,Computer Science,Top IIT,4,3,3,3,3,4,3,76,2,11,5,2,8.32,Full Stack,Yes,5046646
95.6,100.0,2190,Male,1,0.4,Civil,Mid IIT,2,1,1,3,3,3,2,1,5,12,2,3,4.28,Android Development,Yes,929655
83.0,82.3,14045,Male,1,0.1,Computer Science,Top IIT,2,1,1,4,3,3,0,104,6,6,8,2,2.29,Other,Yes,4493782
89.7,80.2,14210,Male,0,0.0,Computer Science,Top IIT,2,1,1,3,2,3,2,42,4,11,3,2,7.58,Android Development,No,3770019
82.0,79.6,11739,Male,1,0.7,Electrical,Top IIT,0,2,3,4,3,4,3,109,5,15,4,1,3.32,Full Stack,No,2899011
69.1,66.9,38211,Male,1,0.3,Computer Science,Top IIT,2,1,1,3,5,3,0,75,5,8,2,2,7.74,Full Stack,No,3966982
69.1,64.8,48037,Female,1,0.7,Computer Science,Top IIT,2,1,5,5,4,2,2,53,5,11,6,1,7.13,Full Stack,Yes,5088283
83.0,90.7,1488,Female,1,0.1,Electrical,Top IIT,5,2,2,3,3,1,5,93,4,12,3,0,3.81,Android Development,Yes,3071266
88.1,100.0,4312,Female,0,0.0,Computer Science,Top IIT,2,2,2,4,4,2,1,92,5,11,0,2,3.18,Other,Yes,4249355
75.9,73.3,1970,Female,0,0.0,Civil,Mid IIT,1,3,3,4,2,2,2,107,11,11,3,3,7.51,Full Stack,Yes,1209920
94.5,89.0,2308,Female,2,1.3,Mechanical,Top IIT,0,2,2,4,4,1,1,74,0,7,2,1,5.66,Full Stack,Yes,2455956
70.0,66.1,11897,Female,1,1.0,Computer Science,Top IIT,0,3,0,3,2,4,2,88,5,18,3,1,4.09,Other,Yes,3800147
93.2,84.9,1737,Female,1,0.6,Computer Science,Top IIT,1,1,4,3,4,2,2,123,3,10,4,2,7.24,Android Development,Yes,5324470
95.8,93.2,1645,Female,0,0.0,Civil,Mid IIT,0,1,2,4,4,2,2,70,1,12,3,0,8.47,Android Development,No,1018525
99.0,96.9,14473,Male,1,0.7,Electronics,Mid IIT,2,4,1,4,4,3,0,77,3,8,2,1,4.83,Android Development,Yes,1874238
85.4,96.6,24642,Female,1,0.9,Electrical,Top IIT,4,1,4,4,4,3,0,126,7,10,4,1,2.74,Full Stack,No,3175727
98.5,100.0,5106,Male,2,1.5,Computer Science,Top IIT,1,4,3,4,4,2,4,62,5,8,5,1,6.7,Machine Learning,No,4349480
70.9,60.0,5116,Female,1,0.4,Computer Science,Mid IIT,5,2,1,4,2,4,2,52,5,7,3,0,9.73,Machine Learning,Yes,2179649
78.5,71.5,873,Male,1,0.3,Civil,Top IIT,1,1,3,4,4,3,4,110,4,10,4,3,3.3,Android Development,Yes,2550518
72.3,81.7,4803,Male,0,0.0,Electrical,Top IIT,1,2,0,2,5,5,1,59,7,12,3,1,7.06,Machine Learning,No,2444971
71.9,81.4,2308,Male,1,0.3,Computer Science,Top IIT,3,1,1,2,4,2,0,86,3,7,1,5,4.07,Machine Learning,Yes,4194076
74.9,73.5,31633,Female,0,0.0,Electronics,Mid IIT,2,1,1,2,2,4,1,27,3,8,5,0,4.2,Android Development,No,1546592
83.8,84.0,948,Female,0,0.0,Computer Science,Top IIT,0,1,1,2,3,3,2,45,8,7,2,2,5.14,Machine Learning,Yes,4822670
70.0,60.0,21786,Male,0,0.0,Electrical,Top IIT,0,1,0,3,3,3,2,59,5,18,4,1,4.12,Android Development,Yes,2470126
84.9,86.9,8861,Male,1,0.7,Electrical,Top IIT,0,2,3,2,2,1,2,75,8,12,3,4,7.12,Android Development,Yes,3413037
93.2,68.5,4378,Female,1,0.3,Computer Science,Top IIT,1,1,2,3,3,2,1,75,4,11,5,1,7.5,Other,No,4745569
86.2,82.7,12030,Female,0,0.0,Mechanical,Top IIT,1,4,2,2,3,4,0,56,2,6,2,0,6.38,Machine Learning,Yes,2527126
94.9,86.8,6905,Male,2,1.2,Computer Science,Top IIT,2,2,2,3,3,2,4,95,7,8,5,1,2.9,Full Stack,No,4187198
72.1,78.2,3498,Male,2,1.6,Electrical,Mid IIT,5,3,3,3,4,4,2,90,2,13,3,1,5.5,Machine Learning,Yes,1673152
76.9,62.1,14567,Female,1,0.3,Civil,Top IIT,3,1,4,4,3,2,1,111,8,11,1,2,5.2,Other,No,2573828
89.6,82.7,8228,Male,0,0.0,Computer Science,Top IIT,0,1,4,4,3,2,2,99,6,9,3,2,3.21,Full Stack,No,4718996
73.2,75.2,2130,Female,0,0.0,Mechanical,Top IIT,3,2,6,2,3,4,1,71,6,5,2,3,8.56,Full Stack,Yes,2830016
66.5,60.0,14439,Male,1,0.6,Civil,Top IIT,0,1,4,3,4,5,2,89,1,8,2,1,5.97,Machine Learning,No,3055586
98.3,96.9,5170,Male,1,0.8,Mechanical,Mid IIT,2,1,1,1,3,2,3,93,8,7,3,2,8.68,Full Stack,Yes,1275488
69.8,71.4,21619,Female,2,0.4,Civil,Top IIT,1,2,4,5,3,2,1,121,5,14,1,2,4.85,Android Development,No,2896028
85.9,92.5,30897,Female,0,0.0,Mechanical,Top IIT,3,1,2,3,3,3,1,54,2,9,2,0,2.43,Full Stack,Yes,2405004
86.6,87.3,23487,Female,0,0.0,Computer Science,Top IIT,1,1,0,2,4,4,4,25,7,11,3,3,2.51,Full Stack,Yes,3426420
97.6,100.0,1809,Male,2,0.0,Computer Science,Top IIT,1,4,2,3,4,4,0,112,8,9,2,2,4.69,Android Development,No,5650048
87.3,70.3,3248,Female,1,0.2,Mechanical,Top IIT,3,3,2,4,3,2,4,70,2,11,2,2,5.13,Machine Learning,No,2714019
90.7,96.2,15379,Female,0,0.0,Electrical,Top IIT,1,1,3,4,4,2,5,44,4,10,2,2,9.3,Machine Learning,Yes,2820572
71.1,60.5,10299,Female,0,0.0,Electrical,Top IIT,1,1,3,3,3,4,2,65,6,11,4,3,4.22,Full Stack,No,3036560
90.1,86.4,10231,Male,1,0.9,Computer Science,Top IIT,4,2,1,3,3,2,2,111,4,16,3,1,8.4,Other,Yes,3828659
80.9,79.5,1038,Female,0,0.0,Mechanical,Top IIT,1,1,2,2,3,4,4,71,3,11,2,1,4.76,Machine Learning,Yes,2394804
83.6,83.2,23661,Male,1,0.6,Electrical,Mid IIT,0,1,1,3,4,4,1,91,8,9,2,0,2.88,Full Stack,No,1340804
88.6,77.3,2015,Female,1,0.1,Computer Science,Top IIT,1,1,1,4,5,5,0,78,7,7,2,1,6.56,Machine Learning,Yes,4266543
73.2,69.6,2008,Male,1,0.9,Computer Science,Mid IIT,4,2,1,4,3,2,4,122,10,10,4,2,4.87,Android Development,Yes,1959356
80.9,65.3,4084,Female,3,2.6,Mechanical,Top IIT,5,5,1,2,4,4,2,116,1,9,8,1,5.59,Full Stack,No,3447384
73.0,68.0,5494,Female,1,0.8,Mechanical,Top IIT,3,1,1,5,4,3,2,28,4,10,3,1,6.28,Other,Yes,2671897
83.2,86.4,9775,Male,0,0.0,Computer Science,Top IIT,0,1,4,4,3,4,0,78,8,9,5,0,2.58,Android Development,Yes,4441173
69.1,60.0,1914,Male,0,0.0,Computer Science,Top IIT,0,2,1,3,2,3,0,80,4,7,4,0,3.56,Android Development,Yes,4625392
79.2,61.0,2959,Male,0,0.0,Electrical,Top IIT,0,2,3,3,3,3,4,80,10,11,2,4,2.8,Android Development,No,2534409
66.9,63.7,64740,Male,1,0.2,Computer Science,NIT,0,2,0,2,2,2,0,107,6,12,8,1,4.25,Machine Learning,Yes,1144131
71.4,67.7,8621,Male,0,0.0,Electronics,Top IIT,0,1,1,5,4,2,0,68,5,8,5,0,6.97,Android Development,Yes,2616585
69.1,73.6,737,Female,2,1.6,Computer Science,Top IIT,3,2,1,4,3,5,1,75,2,7,2,1,6.33,Other,Yes,5453126
87.1,70.1,547,Male,1,0.2,Computer Science,Top IIT,1,1,2,4,2,4,3,74,5,13,3,3,2.32,Machine Learning,Yes,4247536
72.7,70.3,7474,Female,2,0.4,Computer Science,Top IIT,0,2,3,4,4,1,3,129,1,10,3,1,3.26,Other,Yes,5454110
73.7,67.0,764,Male,2,1.4,Computer Science,Top IIT,2,3,2,2,3,3,3,99,4,8,1,0,6.0,Full Stack,No,5275935
78.7,74.5,5256,Female,1,0.1,Computer Science,Top IIT,1,2,0,5,4,2,2,93,5,7,5,1,9.31,Android Development,No,3236961
76.9,69.5,17648,Female,0,0.0,Electronics,Top IIT,0,1,5,3,4,2,2,8,4,12,4,0,5.18,Other,No,3729419
95.3,81.0,1948,Male,1,0.9,Civil,Top IIT,1,2,2,2,3,4,2,39,2,15,2,1,5.37,Machine Learning,No,2718004
93.0,95.4,2812,Male,0,0.0,Computer Science,Mid IIT,0,2,3,3,5,2,5,80,4,9,3,3,6.42,Other,Yes,2203099
99.3,88.8,9182,Male,0,0.0,Civil,Top IIT,2,3,2,4,3,3,1,58,3,12,2,2,8.36,Other,No,1879207
72.1,73.6,11462,Female,1,0.5,Mechanical,Top IIT,0,1,3,3,3,3,2,78,6,8,3,3,5.96,Machine Learning,Yes,2980463
77.9,65.4,13376,Female,2,1.5,Computer Science,Top IIT,2,2,4,5,4,3,5,55,5,16,1,1,6.96,Full Stack,No,5460029
80.1,80.1,3753,Female,3,1.4,Electrical,Top IIT,4,1,0,4,3,4,1,124,2,6,1,1,4.25,Full Stack,No,3236472
71.6,60.0,1143,Male,1,0.8,Civil,Top IIT,1,1,1,4,5,3,0,107,6,12,2,1,3.48,Machine Learning,No,2185409
90.8,85.4,30842,Female,0,0.0,Electronics,Mid IIT,1,1,0,4,5,2,1,36,3,8,5,1,7.89,Full Stack,Yes,1273661
76.5,76.7,7442,Female,2,0.3,Civil,Top IIT,2,1,2,3,4,3,2,85,1,13,3,1,6.53,Android Development,No,2294264
78.0,66.8,4318,Female,3,1.0,Electronics,Top IIT,2,2,0,3,4,2,0,101,7,7,6,6,5.27,Full Stack,No,3803736
97.8,97.4,20133,Female,0,0.0,Mechanical,Top IIT,0,1,1,3,1,1,3,99,11,8,4,3,3.62,Full Stack,Yes,2278717
72.8,60.0,3650,Female,0,0.0,Civil,Top IIT,1,2,4,2,3,5,3,61,5,12,3,3,6.05,Android Development,Yes,2670027
68.5,63.0,3654,Female,0,0.0,Civil,Mid IIT,1,2,0,4,3,3,1,82,3,13,3,0,4.3,Android Development,No,1017487
81.9,79.5,60974,Male,2,1.3,Mechanical,Mid IIT,0,3,2,3,3,3,4,89,6,10,3,1,6.92,Other,Yes,1429422
72.7,68.7,738,Female,0,0.0,Electrical,Top IIT,1,2,2,3,3,1,1,39,2,10,1,1,2.42,Android Development,Yes,2827350
88.5,90.5,1578,Male,1,0.8,Mechanical,Top IIT,2,1,2,3,4,3,2,120,3,11,1,3,7.89,Machine Learning,No,2620455
75.2,79.2,36295,Female,0,0.0,Computer Science,Top IIT,1,1,1,5,5,4,2,109,6,9,1,0,6.61,Android Development,Yes,4165973
78.0,76.6,11165,Male,0,0.0,Electrical,Top IIT,0,1,2,3,2,5,4,12,7,12,5,4,3.65,Full Stack,No,2477717
68.2,73.3,2526,Female,0,0.0,Electronics,Top IIT,0,1,3,3,3,3,1,90,6,10,2,1,8.3,Machine Learning,Yes,3655314
90.1,86.9,680,Female,1,0.3,Electrical,Top IIT,3,2,1,3,4,3,0,75,5,7,5,2,5.02,Android Development,No,2293165
69.6,68.2,8663,Male,2,1.5,Civil,Top IIT,3,3,3,3,4,3,4,57,4,7,1,2,3.93,Machine Learning,Yes,2648188
96.3,98.0,1058,Female,0,0.0,Computer Science,Top IIT,2,1,1,4,2,3,2,90,2,10,3,2,5.83,Full Stack,Yes,4158006
93.3,98.0,4180,Male,0,0.0,Electrical,Top IIT,1,1,2,4,3,4,1,114,8,10,3,0,7.55,Full Stack,No,3406000
89.5,85.3,870,Male,0,0.0,Computer Science,Top IIT,0,2,4,4,5,4,1,96,4,7,1,3,2.67,Android Development,Yes,5249544
84.8,77.1,16717,Female,1,0.8,Electrical,Top IIT,4,2,0,3,4,2,3,128,5,12,6,2,8.66,Machine Learning,No,2398491
92.1,96.7,4473,Female,0,0.0,Computer Science,Top IIT,0,1,2,4,2,5,1,89,8,9,1,1,3.11,Android Development,No,4395398
73.4,73.6,4152,Female,2,1.7,Computer Science,Top IIT,2,3,2,4,3,3,4,164,3,7,2,0,4.91,Android Development,Yes,5250018
95.6,88.4,51697,Male,1,1.0,Computer Science,Top IIT,0,1,1,4,3,2,2,140,8,9,1,0,5.63,Android Development,No,4035163
98.1,100.0,10543,Female,0,0.0,Mechanical,Top IIT,0,1,3,3,4,3,1,64,2,9,5,1,5.22,Machine Learning,Yes,2571578
93.5,100.0,5245,Female,1,0.0,Mechanical,Top IIT,1,1,1,3,5,3,1,1,1,8,1,5,9.24,Full Stack,Yes,2487613
63.4,63.8,2485,Male,1,0.4,Computer Science,Top IIT,1,2,0,3,4,4,3,81,6,7,6,0,1.87,Full Stack,Yes,5527432
84.5,93.5,29541,Male,2,1.4,Electrical,Top IIT,1,2,3,4,3,4,0,96,3,14,2,1,7.17,Other,No,3400923
91.7,81.1,10016,Male,0,0.0,Electrical,Top IIT,2,1,3,5,2,3,0,72,4,9,2,0,6.33,Full Stack,No,2625506
88.0,83.7,7656,Male,1,0.5,Civil,Top IIT,2,3,1,2,4,4,1,142,3,14,2,2,4.21,Other,Yes,2072634
83.6,75.7,12234,Female,2,1.7,Mechanical,Top IIT,0,1,3,2,5,1,0,108,5,13,2,1,5.13,Machine Learning,Yes,2780817
86.5,79.9,6556,Female,1,0.7,Electronics,Top IIT,2,1,5,4,2,3,4,114,5,10,0,0,6.94,Other,Yes,4073901
70.9,74.1,20600,Female,1,0.4,Civil,Top IIT,3,1,3,3,3,5,4,103,5,18,6,2,6.44,Android Development,No,2825734
94.6,88.3,1735,Male,1,0.3,Mechanical,Top IIT,1,3,8,4,3,3,0,90,5,12,5,2,3.4,Android Development,No,3625134
94.0,94.5,9960,Male,2,1.4,Computer Science,Top IIT,0,3,2,4,4,2,3,27,7,6,0,0,5.23,Android Development,Yes,4756054
86.4,78.3,15581,Female,1,0.0,Civil,Top IIT,0,1,0,3,2,1,3,75,5,8,6,1,3.23,Full Stack,No,2080575
73.7,73.1,10353,Male,1,1.0,Civil,Top IIT,4,1,1,3,5,3,2,120,2,11,6,3,7.7,Other,No,2025129
89.4,80.0,6489,Male,0,0.0,Mechanical,Top IIT,0,1,3,3,4,3,1,131,4,9,1,1,4.38,Machine Learning,No,2495392
87.1,82.9,17695,Female,0,0.0,Computer Science,Top IIT,1,4,3,4,4,5,2,112,1,12,3,2,3.6,Other,No,4227530
74.5,64.2,2619,Female,0,0.0,Mechanical,Top IIT,1,1,4,3,4,3,0,117,5,7,6,3,4.31,Machine Learning,Yes,2920631
71.7,63.4,12652,Male,0,0.0,Electrical,Top IIT,0,2,4,4,4,2,0,51,4,10,3,1,2.91,Other,Yes,2804089
86.0,81.1,2083,Female,2,0.4,Computer Science,Top IIT,2,2,2,5,5,2,1,68,3,8,2,0,5.15,Full Stack,No,5310138
86.3,77.6,801,Female,1,1.0,Computer Science,Top IIT,4,2,2,4,4,2,3,44,3,10,2,1,5.93,Full Stack,No,4193827
67.9,66.8,710,Male,0,0.0,Computer Science,Top IIT,0,1,2,3,5,3,2,85,6,9,3,0,3.34,Machine Learning,Yes,5242992
89.9,87.4,4792,Male,0,0.0,Mechanical,Top IIT,2,3,0,4,5,4,2,46,5,9,4,1,3.54,Android Development,No,2622466
86.8,88.5,4280,Female,1,0.3,Computer Science,Top IIT,1,1,3,3,3,3,2,74,6,12,5,3,5.18,Android Development,No,5398921
87.5,80.3,2289,Female,1,0.8,Electronics,Top IIT,1,2,2,4,3,4,0,104,5,8,2,1,4.01,Other,No,3647708
85.6,71.8,1473,Male,3,0.1,Mechanical,Mid IIT,0,1,3,5,5,2,4,78,5,5,4,0,5.58,Other,Yes,1490983
93.6,89.9,4719,Male,0,0.0,Computer Science,Top IIT,1,2,1,3,3,2,1,105,3,16,4,0,6.22,Full Stack,Yes,3961459
74.7,80.3,16419,Female,0,0.0,Computer Science,Top IIT,1,1,2,5,4,3,2,109,5,10,2,1,6.7,Android Development,Yes,4269820
65.5,68.3,5391,Female,1,0.2,Mechanical,Top IIT,2,2,3,4,3,3,3,111,3,9,2,0,7.4,Other,No,3219159
82.8,83.6,4496,Male,1,0.5,Electrical,Top IIT,4,2,4,3,4,5,5,143,3,6,4,5,8.57,Other,Yes,3212639
87.1,72.4,4276,Female,0,0.0,Civil,Top IIT,1,1,2,5,2,2,2,50,2,9,0,3,5.1,Android Development,No,2553671
77.1,77.7,9565,Male,0,0.0,Computer Science,Top IIT,0,1,2,3,4,2,1,58,4,9,1,0,8.68,Full Stack,Yes,3672133
72.5,65.5,406,Female,0,0.0,Electrical,Top IIT,1,2,5,3,3,4,4,120,9,10,4,2,8.87,Machine Learning,Yes,3047333
83.5,79.8,4477,Female,1,0.9,Civil,Top IIT,2,2,0,3,4,2,3,69,8,10,2,3,5.5,Other,Yes,2579334
95.2,78.5,15103,Female,0,0.0,Mechanical,Top IIT,0,1,3,3,5,2,3,73,2,9,2,3,5.43,Other,No,2578147
93.9,90.5,18009,Male,0,0.0,Computer Science,Top IIT,1,2,1,3,4,3,2,70,4,11,5,4,8.08,Full Stack,No,3907011
80.2,73.9,1595,Male,0,0.0,Electrical,Top IIT,0,1,5,3,4,3,4,20,8,10,2,2,5.39,Android Development,No,3563772
68.8,78.9,6049,Female,1,0.0,Computer Science,Mid IIT,1,1,3,4,5,3,3,66,5,17,5,2,7.91,Full Stack,No,2640446
83.0,71.8,4615,Male,2,1.8,Mechanical,Top IIT,3,3,2,4,3,3,2,54,4,9,2,3,5.64,Full Stack,Yes,2593459
66.0,65.9,2461,Female,0,0.0,Mechanical,Top IIT,0,1,1,3,3,2,4,57,7,14,3,5,6.7,Full Stack,Yes,2509107
91.1,83.6,8160,Male,2,0.6,Electrical,Top IIT,1,1,1,3,4,4,1,117,0,6,2,3,6.33,Android Development,Yes,3040625
77.7,88.5,1399,Male,0,0.0,Mechanical,Top IIT,0,2,1,5,3,2,4,52,3,9,1,1,5.66,Other,No,2405323
77.3,85.2,1587,Female,0,0.0,Computer Science,Top IIT,0,1,0,3,3,2,3,97,3,12,4,4,1.36,Full Stack,No,3110316
95.5,92.7,474,Female,1,0.8,Computer Science,Top IIT,0,2,2,3,4,1,2,111,2,6,0,2,5.93,Other,Yes,4896013
73.7,71.4,870,Female,0,0.0,Civil,Top IIT,1,1,2,3,5,3,2,113,3,6,1,1,5.58,Full Stack,No,2201296
62.5,60.0,1343,Male,2,0.8,Mechanical,Top IIT,2,2,1,3,4,3,3,83,3,7,3,0,4.84,Android Development,No,2626419
78.5,65.8,13412,Female,2,1.4,Computer Science,Top IIT,5,1,5,2,3,4,0,52,6,13,7,1,4.09,Android Development,Yes,4708155
78.5,71.9,751,Male,1,0.4,Electronics,Top IIT,0,1,3,3,5,3,1,69,7,10,1,0,2.76,Machine Learning,No,3581681
83.5,85.8,7408,Male,3,2.2,Computer Science,Top IIT,2,3,2,4,3,4,3,94,7,9,6,4,2.94,Machine Learning,No,4911173
79.9,79.2,2262,Male,2,1.5,Computer Science,Top IIT,3,3,1,5,3,3,2,113,4,12,4,2,5.96,Full Stack,Yes,4732519
94.6,92.5,15978,Male,2,1.6,Civil,Top IIT,2,3,1,3,4,3,4,118,3,10,2,1,4.54,Other,No,2564841
70.5,70.2,7659,Female,0,0.0,Electrical,Top IIT,0,1,3,4,3,3,1,49,6,7,0,2,7.43,Machine Learning,Yes,3200974
63.0,60.0,4948,Female,0,0.0,Computer Science,Top IIT,3,2,2,3,4,1,0,78,6,11,1,1,5.68,Android Development,Yes,4499629
80.7,74.8,4832,Female,0,0.0,Computer Science,Top IIT,3,2,3,3,4,4,1,56,3,7,2,5,7.12,Android Development,No,4404175
77.4,65.9,2104,Male,1,0.2,Computer Science,Top IIT,0,2,4,3,3,2,5,106,3,6,3,3,5.63,Other,No,4385383
71.2,75.8,2100,Female,0,0.0,Computer Science,Top IIT,1,2,3,4,4,2,1,56,3,6,1,3,3.63,Other,No,4920531
62.6,64.5,1310,Male,1,0.9,Computer Science,Top IIT,0,4,5,5,3,2,0,106,3,11,1,3,2.39,Android Development,No,5631628
72.2,77.4,8236,Female,0,0.0,Computer Science,Top IIT,2,1,3,3,5,4,2,37,4,8,4,2,6.81,Android Development,Yes,4016745
88.9,93.8,5827,Female,1,0.4,Mechanical,Top IIT,1,1,2,3,3,3,2,90,4,9,3,2,6.34,Machine Learning,Yes,2534637
80.0,82.5,19864,Male,1,0.6,Computer Science,Top IIT,3,2,2,2,3,3,0,119,9,10,1,1,4.18,Full Stack,Yes,4520589
64.9,60.0,11937,Male,1,0.2,Computer Science,Mid IIT,1,1,2,4,4,2,0,131,4,7,0,0,3.64,Full Stack,No,2225315
70.6,68.8,894,Female,0,0.0,Computer Science,Top IIT,2,1,2,3,3,3,2,145,9,5,0,1,7.43,Full Stack,Yes,5043783
76.8,82.6,15566,Male,0,0.0,Electronics,Top IIT,3,1,1,4,3,3,5,100,8,12,2,4,4.69,Machine Learning,Yes,3940690
